valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.272,1923,0.905,['FanChants: NavijaÄi RadniÄki 1923'],0.406,117944,0.947,0,52rqxBsKzlyuWPkZDTryPJ,0.00225,11,0.821,-4.784,1,Ekipa Je Na Nogama,0,1923,0.282,129.659
0.71,1924,0.996,['Francisco Canaro'],0.425,188147,0.652,0,0V29uZ25OVqdQeB7uOeUv3,0.843,10,0.715,-12.108,0,La Sulamita - Remasterizado,0,11/7/1924,0.0707,176.256
0.745,1924,0.821,['Lionel Hampton Orchestra'],0.589,500787,0.895,0,1JKGMzesB5AMCp9Yuqbcjj,0.675,10,0.593,-4.295,1,I Got Rhythm,0,1924,0.103,141.475
0.453,1924,0.00262,['Lionel Hampton Orchestra'],0.478,449480,0.601,0,39hHy2RE5bbkjweHBOwyi7,0.0125,7,0.413,-15.063,1,Mr. John,0,1924,0.0434,140.472
0.814,1925,0.786,['Tommy Dorsey'],0.545,138680,0.647,0,6rWXuCoH1xnnRFCKZzoGVL,0.727,7,0.764,-11.564,0,Put On Your Old Grey Bonnet,2,1925,0.148,140.096
0.27,1926,0.0311,['Future Rapper'],0.401,78000,0.61,0,02R3JMuw0E8uloMBpHG3Yz,0.97,2,0.637,-12.807,1,Submission Accomplice,0,3/10/1926,0.0277,160.24
0.611,1928,0.971,['Benny Goodman Quartet'],0.646,253240,0.637,0,31gPVPQvmbuqx8eGNkYK5H,0.784,3,0.437,-10.928,1,Avalon - Live,15,1928,0.0349,127.248
0.775,1928,0.912,['Benny Goodman'],0.618,255227,0.829,0,3aNe3EWNK7GACBChhcxjJ2,0.871,7,0.964,-7.57,0,Roll 'Em,14,1928,0.109,98.192
0.627,1928,0.933,['Benny Goodman'],0.606,172893,0.827,0,1K2ZlQqdW2h6ax9fye2vaw,0.898,1,0.935,-9.035,1,King Porter Stomp,14,1928,0.174,118.9
0.685,1930,0.908,['Louis Armstrong'],0.319,235493,0.669,0,1aMkvkHB0AuyddAnR79N7G,0.559,3,0.687,-9.47,1,Ain't Misbehavin' (Live) - 1996 Remastered,3,1930,0.0942,172.812
0.733,1930,0.753,['Louis Armstrong'],0.376,252773,0.75,0,4xc65FHMiwCXAyEKzgFbyq,0.000593,1,0.952,-9.557,1,All of Me - Live,4,1930,0.438,178.948
0.592,1932,0.978,"['Francisco Canaro', 'Felix Gutierrez']",0.316,178507,0.625,0,06sT0JbR2yp52oVfW0hmYY,0.435,4,0.848,-9.103,0,La Bordadora de San Telmo - Remasterizado,0,26/12/1932,0.142,181.182
0.968,1932,0.989,"['Francisco Canaro', 'AgustÃ­n Irusta']",0.629,174000,0.792,0,1LmmGNlO7JSpbfORvJbXXP,0.0711,7,0.627,-5.66,1,"Cule, Cule - Remasterizado",0,26/12/1932,0.105,96.095
0.672,1932,0.627,['Mari Merche Y Su Orquesta'],0.456,150802,0.662,0,1caF28L54kk2mAnn0zGNSe,0,7,0.793,-9.437,1,Media Hora - Remastered,0,12/1/1932,0.0426,81.672
0.743,1932,0.832,['TrÃ­o Los Chamas'],0.542,165277,0.675,0,1sAFd9paCfBdrSfKJyEn0V,0,0,0.411,-9.997,1,Olvida,0,1/1/1932,0.15,87.125
0.643,1937,0.918,['Raymond Scott'],0.587,174800,0.605,0,4ws7NtvMTo5PhN6V4p097M,0.915,7,0.664,-11.263,0,Bumpy Weather Over Newark,7,1937,0.243,85.552
0.557,1938,0.684,['Artie Shaw'],0.472,134893,0.731,0,0qayY36mCqBwedD10ip4DF,0.569,0,0.553,-8.679,0,Traffic Jam,9,1938,0.113,132.747
0.435,1938,0.646,['Benny Goodman'],0.58,55227,0.889,0,5Eum7gvyrgRdWS9to9c08K,0.819,7,0.427,-11.911,1,Shine - Live,10,1938,0.694,176.195
0.3,1938,0.654,['Benny Goodman'],0.427,291400,0.93,0,6oGZyUWhRx6wBVUfevTwtc,0.747,5,0.954,-13.846,1,I Got Rhythm - Live,13,1938,0.0445,152.623
0.297,1938,0.473,['Benny Goodman'],0.367,52200,0.94,0,6uidiSJ2xvXO6VPLDax7nR,0.774,0,0.421,-13.034,1,When My Baby Smiles at Me - Live,10,1938,0.372,185.574
0.372,1938,0.764,['Benny Goodman'],0.471,158227,0.645,0,2jt39IH02k1uGXLxYKOavb,0.745,11,0.411,-11.38,1,Swingtime In the Rockies - Live,9,1938,0.532,134.473
0.702,1938,0.672,['Benny Goodman'],0.381,285027,0.677,0,63xe5e9LkXh5C6m7eyLkSl,0.86,5,0.692,-17.279,1,China Boy - Live,8,1938,0.0401,169.044
1.00E-05,1938,0.0132,['Benny Goodman'],0.175,41240,0.999,0,6WZeWvIq7tPj2WwlCLwTEh,0.916,10,0.518,-19.789,0,"Applause, Transition to Twenty Years of Jazz - Live",9,1938,0.471,82.808
